id,source,comment,sentiment
34,YouTube,"Great video , thanks for the info . As for the pension I had a question , what’s best way to save for your pension . Did you just put a certain amount of your salary account aside on your savings account or another bank account specifically created for your pension money . Or did you hire a certain company that helps you set a pension fund . Keep up the good work with the videos",
35,YouTube,So an ordinary office job is more exciting? What about a police officer? So you didn't like being a FA. So what. I'm sure I'd hate what you're doing but I don't need to make a video about it. You're a YouTuber? No way I'd ever do that because it's not my passion. But it's yours so what makes you so special?,
36,YouTube,You should see the burnt out senior cabin crew on US airlines drinking themselves silly in their European hotel room stopovers - at the end of the day its a 3 year job maximum,
37,YouTube,"I am applying to join Emirates cabin crew next week. I know it’s easier to get in if they actually are low on staff and in need for lots of new cabin crew. Do you have any idea how low on staff they are at the moment ? It might help me knowing, whilst I am preparing this whole week knowing also wheter they need staff or not it’s very hard to get in anyway..",
38,YouTube,Don t know...worked for Alitalia for 30 years and loved every flight even though with all many issues were included of course.,
39,YouTube,"When you work any job, one is executing the same activities every day",
40,YouTube,"Fact is Life is hard, do you think the man who picks up your garbage every day is living his passion? No sometimes you just need to make a living and more importantly it’s a responsibility if you have a family. Some flight attendants can do it for 40 years, some can’t handle it. To each his own but let’s respect those who choose a different path and not pointing out how bad their choice of career is. Let it go, it just wasn’t for you. The hate comments you’re getting are from those who enjoy doing what they do and don’t take well when someone says the job that they love sucks so much. Try to understand that and let it go and move on with your life and choices. But one thing is for sure, whatever you choose, whether is raising children, doing your videos, it will always be hard work!",
41,YouTube,"Interestingly truthful. Both my wife & I flew for South African Airways frm 1981-1991 on B747s. We were young, it was fun, good money, 5 star hotels, lots of travelling, shopping & partying BUT spending 15-20days overseas flying 90 hrs per month is very demanding on a stable / healthy lifestyle. We both moved into aviation management & a more stable career.",
42,YouTube,"Hello Orlando! Thanks for your video, think it's good to highlight different aspects of life as a cabin crew. I have to ask you something (a completely honest and straightforward question): For the past 10 years, I have been carrying a dream of working as cabin crew, but really have all the odds against me; I am extremely shy, introverted, get anxiety from adversity and am on medication for this. Not the strongest medicine then, but still. Would you dissuade me from pursuing this profession? Do you understand that my mental health is most important and I may not understand what this profession really entails? Nevertheless, the dream remains with me, because I like to travel and to provide good service. But that might not be enough I think.....so I would like some advice from someone who knows what it can be like up there in the air (and also down on the ground when you are not flying). Wishing you and your family all the best! With kind regards David from Sweden",
43,YouTube,Excellent video! Many valid points. Congrats on your life shift.,
44,YouTube,"Congratulations on your courage to start something new. Follow your passion! It will take you to places you never expected; you'll see! Five years from now, you'll be very surprised. Your financial advice is the best advice you could give ANYONE!! Save and invest!!! It's easier than you think and you'll be very, very happy when you are older. Trust me! I've done it! I agree 💯 but I must say that the flight attendant job is dead-end. Chances for advancement are slim. It's good for a few years for young men and women to travel, but to make a lifelong career like they have done at Delta and United is only for a few.",
45,YouTube,"Thanks for posting this testimonial. I can’t imagine the strain of being an FA, especially the physical aspects. I assume similar issues affect pilots as well, fatigue being such a big part of the job. We all depend on the airline industry but little attention is paid to the people that make it happen.",
46,YouTube,"Being a flight attendant is a great job and in my opinion, you said nothing but the truth. There is so much of your personal freedom you have to give up for this so called fabulous lifestyle we are known to have. You are constantly tired from flying from east coast to west coast. This job is not made for everyone. You have to really love it to stay in long term.",
47,YouTube,I have friends who were crew for over 20 years. One who flew to LA for 18 years on and off and had new been downtown or to Disney Land,
48,YouTube,"I have been a cabin crew for over 15 years now (in europe) and I cannot agree more with what you have said. I personally think that some companies especially middle eastern are a kind of ""golden cage"" in which you end up in and can be really difficult to come out. We as humans we tend for stability and sometimes ismt is difficult to give up your routine and jump into the dark. Through my career I have personally experienced months of low energy and depression as i had the feeling I was doing rhe same things over and over again. But in the end, passion for flying and being on that aluminium rocket speeding through the sky at 900km/h still gives me shiver of happiness.",
49,YouTube,"Health is Wealth. No job, no profession is worth that sacrifice and deficit. Health Means @ not necessarily super wealthy but adequate to support oneself and one's family. Freedom to pursue one's interests and responsibilities. Best wishes.",
50,YouTube,"Although experienced in a different work environment to most, everything you describe is really no different from any job.",
51,YouTube,Hey' following a while during you4 flight time. Today you Look much more healthier and hopefully much luckier. This job is only for a special time. Shopping is.not a whole life and all the glamour is Not all. Each has to decide how long it is able to work for such big Compagnie. Best wishes .greetx from FRA. K.,
52,YouTube,I worked for a scheduled 4 star airline for 23.5 years and i would never do it again. Airline life is crap.,
53,YouTube,“Being Cabin Crew”. There is no A before cabin crew. This is the most irritating thing about working in the Middle East. People will say “annual leaves”; when it’s Leave (no S). Basic English.,
